Date,Open,High,Low,Close,Adj Close,Volume
2016-05-30,979.966980,996.666992,976.666992,990.966980,912.824036,370810
2016-05-31,987.466980,992.466980,978.632996,982.867004,905.362793,265656
2016-06-01,976.666992,988.666992,975.000000,977.833008,900.725769,227265
2016-06-02,973.333008,988.533020,961.767029,985.567017,907.849915,279948
2016-06-03,986.666992,990.867004,970.732971,974.000000,897.195007,250962
2016-06-06,980.000000,981.666992,974.333008,978.732971,901.554749,120397
2016-06-07,979.400024,999.966980,974.367004,992.033020,913.806091,377904
2016-06-08,999.333008,1010.000000,994.632996,1007.099976,927.684937,357832
2016-06-09,1007.330017,1008.830017,992.067017,994.867004,916.416565,183210
2016-06-10,994.000000,1003.330017,985.132996,991.400024,913.223022,236683
2016-06-13,984.000000,988.666992,970.232971,976.599976,899.590027,222849
2016-06-14,979.333008,982.000000,970.567017,973.700012,896.918701,139450
2016-06-15,974.067017,1008.330017,974.067017,1006.630005,927.252014,327969
2016-06-16,1006.630005,1006.630005,986.666992,994.567017,916.140259,249385
2016-06-17,1000.000000,1002.770020,981.867004,985.466980,907.757813,293094
2016-06-20,979.400024,1006.000000,973.732971,1003.770020,924.617432,344356
2016-06-21,1005.270020,1006.130005,994.166992,996.466980,917.890442,127465
2016-06-22,996.666992,1001.469971,987.666992,993.700012,915.341553,139605
2016-06-23,993.333008,1004.000000,982.333008,998.232971,919.517151,256089
2016-06-24,973.333008,979.567017,934.267029,955.732971,880.368408,717306
2016-06-27,960.000000,979.799988,953.333008,978.333008,901.186340,337711
2016-06-28,979.966980,993.333008,979.666992,982.067017,904.625854,248961
2016-06-29,988.666992,996.000000,984.000000,987.867004,909.968628,182490
2016-06-30,993.333008,1002.630005,989.833008,997.466980,918.811523,332143
2016-07-01,999.333008,1029.329956,999.333008,1027.099976,946.107788,499173
2016-07-04,1033.569946,1050.000000,1033.569946,1043.469971,961.186890,288789
2016-07-05,1044.000000,1053.670044,1037.300049,1049.770020,966.990112,309402
